Identifier,disp,nodisp
1-1,6278.0,N/A
1-2,6278.0,N/A
1-3,6278.0,N/A
1-4,6278.0,N/A
1-5,6278.0,N/A
1-6,6278.0,N/A
1-7,6278.0,N/A
1-8,6278.0,N/A
1-9,6278.0,N/A
1-10,7664.0,N/A
2-1,10843.0,N/A
2-3,10843.0,N/A
2-4,10843.0,N/A
2-5,10843.0,N/A
2-6,10843.0,N/A
2-8,10843.0,N/A
2-9,10843.0,N/A
2-10,10843.0,N/A
3-2,6028.0,N/A
3-3,6028.0,N/A
3-4,6028.0,N/A
3-5,6028.0,N/A
3-6,6028.0,N/A
3-7,6028.0,N/A
3-8,6028.0,N/A
3-9,6028.0,N/A
3-10,6028.0,N/A
4-1,2980.0,N/A
4-3,2980.0,N/A
4-4,2980.0,N/A
4-5,2980.0,N/A
4-6,2980.0,N/A
4-7,2980.0,N/A
4-8,3086.0,N/A
4-9,2980.0,N/A
4-10,2980.0,N/A
5-1,12096.0,N/A
5-2,12096.0,N/A
5-3,12103.0,N/A
5-5,12103.0,N/A
5-6,12103.0,N/A
5-8,12103.0,N/A
5-9,12103.0,N/A
5-10,12102.0,N/A
6-1,8618.0,N/A
6-2,8618.0,N/A
6-3,8618.0,N/A
6-4,8618.0,N/A
6-5,8618.0,N/A
6-6,8618.0,N/A
6-7,8618.0,N/A
6-8,8618.0,N/A
6-10,8618.0,N/A
